developer,publisher,price,release_year
Ninja Kiwi,,1.99,2017
Ninja Kiwi,,1.99,2017
Ninja Kiwi,,1.99,2017
Vedanta Team,Vedanta Team,3.99,2017
Jannik Nickel,Jannik Nickel,8.99,2017
oksdev,oksdev,0.99,2017
Smash Game Studios,Smash Game Studios,1.99,2017
Raixen Smitch,Raixen Smitch,1.99,2017
G. Malta,VRS,0.99,2017
Jonathan Rocha,Jonathan Rocha,0.99,2017
"Humanture, Inc.","Humanture, Inc.",10.99,2017
Vexed Enigma,Degica,24.99,2017
Vexed Enigma,Degica,24.99,2017
Manic Mind Game Lab,Manic Mind Game Lab,4.99,2017
ONEVISION GAMES,ONEVISION GAMES,6.0,2017
Berserk Games,,6.99,2017
The 3DO Company,2K,5.99,1998
The 3DO Company,2K,5.99,1999
Pandemic Studios,2K,5.99,2002
The 3DO Company,2K,5.99,1999
Prime Time Studio,Prime Time Studio,6.99,2017
Gunsquad,Dagestan Technology,,1900
GooDCrafter,GooDCrafter,0.99,2017
"Red Entertainment,LANTERN ROOMS",D3 PUBLISHER,7.99,2018
Russell Meakim,Russell Meakim,14.99,2017
Alawar Friday's Games,Alawar Entertainment,8.99,2014
YounGen Tech,YounGen Tech,4.99,2017
Vyacheslav Notbad,Vyacheslav Notbad,0.99,2017
Vyacheslav Notbad,Vyacheslav Notbad,0.99,2017
AREA 35,Sony Music Entertainment (Japan) Inc. / UNTIES,24.99,2017
SONNORI Corp,"PQube Limited, SONNORI Corp",1.99,2017
SONNORI Corp,"PQube Limited, SONNORI Corp",1.99,2017
Paradox Development Studio,Paradox Interactive,8.99,2017
Crytek,My.com,Free,2017
Logiraffe,Logiraffe,4.99,2017
ritokergame,ritokergame,3.99,2017
Fishing Cactus,"Fishing Cactus, Plug In Digital",4.99,2017
Stefan Preuss,Stefan Preuss,3.99,2017
Overhead Games,,6.99,2017
灰烬天国,,2.99,2017
Hosted Games,Hosted Games,2.99,2017
Overhead Games,,5.99,2017
DIGITAL MISTAKE,DIGITAL MISTAKE,0.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,11.99,2017
"NetherRealm Studios,QLOC",,19.99,2017
"NetherRealm Studios,QLOC",,5.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Freebird Games,Freebird Games,4.99,2021
Ubisoft San Francisco,Ubisoft,5.99,2017
Axyos Games,Axyos Games,4.99,2017
Slightly Mad Studios,BANDAI NAMCO Entertainment,9.99,2017
Helmi Bastami,Helmi Bastami,9.99,2017
GalaxyTrail,GalaxyTrail,,1900
WhiteMoon Dreams,,2.99,2017
Epic Gamer World LLC,Epic Gamer World LLC,,2017
"SmiteWorks USA, LLC",,24.99,2017
Ayedh,Ayedh,14.99,2017
"SmiteWorks USA, LLC",,24.99,2017
D.W.S.,D.W.S.,9.99,2017
Doborog Games,Doborog Games,Free,2017
Triple-Star Studio,Rock Path Collective,0.99,2017
Desert Owl Games LLC,Desert Owl Games LLC,4.99,2017
"RocketSnail,SkyVu",Screenzilla Entertainment,9.99,2017
Noio,Raw Fury,Free,2017
CarX Technologies,CarX Technologies,3.99,2017
Cristalis Studio,Cristalis Studio,,2017
Maulidan Games,Maulidan Games,9.99,2017
Soma Games,Soma Games,14.99,2017
Leon Aminof,Leon Aminof,Free,2017
Lucasfilm Games,"Lucasfilm, Disney",5.99,1987
"Spike Chunsoft Co., Ltd.",,2.99,2017
JetCat Games,Klabater,3.99,2017
Independent team,Independent team,,2017
putilin_industries,putilin_industries,0.99,2017
Radi Lewis,OpenWorldComics,9.99,2017
Captain Games,Captain Games,1.99,2014
Decent Software LLC,Decent Software LLC,2.99,2017
Eurocom,Disney Interactive,9.99,1994
Mad Head Games,Big Fish Games,12.99,2017
"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",29.99,2017
Konstructors Entertainment,Konstructors Entertainment,1.99,2017
putilin_industries,putilin_industries,,2017
Soldak Entertainment,Soldak Entertainment,9.99,2017
Quicksilver Software,Interplay,9.99,2000
Blender Games,Blender Games,0.99,2017
Interplay,Interplay,9.99,1998
Null Reference Games LLC,Null Reference Games LLC,9.99,2017
Technically Competent,Technically Competent,4.99,2017
Jl Apps,,0.99,2017
Scourgey Works,Scourgey Works,Free,2017
"刘俊亨(Junheng Liu),UNGamingOrg游戏组织玩家",刘俊亨(Junheng Liu),4.99,2017
Laush Dmitriy Sergeevich,Laush Studio,1.99,2017
Frontier Developments,,10.99,2017
Jamey Stegmaier,Tabletopia,6.99,2017
FutureVisionsGames,FutureVisionsGames,4.99,2017
UnderMax Games,,1.99,2017
Studio Baikin,Plug In Digital,12.99,2017
Juvty Worlds Ltd.,Juvty Worlds Ltd.,14.99,2017
MDickie,MDickie,,1900
MadeOfDinosaurs,MadeOfDinosaurs,1.99,2017
MDickie,MDickie,,2017
Assemble Entertainment,Assemble Entertainment,3.99,2017
Jl Apps,Jl Apps,2.99,2017
Birdwall Games,Birdwall Games,9.99,2017
Mysterytag,RunServer,1.99,2014
Vadim Silvestrov,Vadim Silvestrov,4.99,2017
BigMouthedDog Studio,Lukáš Kotík,1.99,2017
eiloware,eiloware,2.99,2017
Wonderbox Games,Wonderbox Games,9.99,2017
Arcupion Art,Arcupion Art,Free,2017
Alice &amp; Smith,,Free,2017
Patriot Game,Patriot Game,0.99,2017
Cesar G.,Cesar G.,1.99,2017
KillerPokeGames,KillerPokeGames,2.99,2017
Patriot Game,Patriot Game,0.99,2017
Big Ant Studios,Big Ant Studios,59.99,2017
Lagun Victor,Lagun Victor,1.99,2017
Cube Factory,Cube Factory,5.99,2017
Mortis Games,Rock Path Collective,1.99,2017
"FOO VR, Inc.",,4.99,2017
Moss Piglet Games,Moss Piglet Games,1.99,2017
RealFire Interactive,RealFire Interactive,14.99,2017
Thrive Games,Thrive Games,10.99,2017
Draconus Entertainment Ltd,Draconus Entertainment Ltd,19.99,2017
Musicofmarkku.com,Draconus Entertainment Ltd,6.99,2017
Just Fishing LLC,Just Fishing LLC,Free,2017
Idea Factory,Ghostlight LTD,1.99,2017
Vishwa Karma Studios,Vishwa Karma Studios,3.99,2017
Luden.io,Nival,,1900
"Asmodee Digital,F2Z Entertainment","Asmodee Digital, Z-Man Games",,1900
Retardia Games,Dagestan Technology,,1900
Colorful Games,Colorful Games,2.99,2017
Retardia Games,Dagestan Technology,,1900
Imagitech,"Merge Games, Focus Multimedia",12.99,2017
Imagitech,"Merge Games, Focus Multimedia",19.99,2017
MercurySteam,Mercury Steam Entertainment s.l,59.99,2017
Graviteam,,14.99,2017
Trinity Team srls,Buddy Productions GmbH,19.99,2017
YGGDRASIL STUDIO,YGGDRASIL STUDIO,0.99,2015
Martin Mitov,Martin Mitov,4.99,2017
Legion Ivory,Black Water,1.99,2017
Eagle Dynamics SA,Eagle Dynamics SA,14.99,2017
Armagedoom Games,Armagedoom Games,9.99,2017
Mikhail Melnikov,Mikhail Melnikov,0.99,2017
PBFP,PBFP,9.99,2017
Foxie Games,App Business Ventures LLC,9.99,2017
Foxie Games,,9.99,2017
Dexion Games,Dexion Games,0.99,2017
Sambiglyon,Sambiglyon,,2017
Foxie Games,,9.99,2017
Foxie Games,,19.99,2017
Shoho Games,Shoho Games,1.99,2017
Taggrin,Taggrin,4.99,2017
Idea Factory,Ghostlight LTD,29.99,2017
Dovetail Games,Dovetail Games - Trains,19.99,2017
Runner Duck,Curve Digital,4.99,2017
Runner Duck,,9.99,2017
Runner Duck,,4.99,2017
Mad Head Games,Big Fish Games,12.99,2017
PlayFlock,PlayFlock,4.99,2017
"World Entertainment Studios, LLC,McLeodGaming Inc.","McLeodGaming Inc., World Entertainment Studios, LLC",11.99,2017
Feudant Interactive Inc.,Feudant Interactive Inc.,,2017
"Square Enix,ArtePiazza",Square Enix,24.99,2017
Scarlet Studio,Scarlet Studio,1.99,2017
Notus Games Ltd,Notus Games Ltd,9.99,2017
Quality Simulations,Quality Simulations,19.99,2017
Bae Team,Bossa Studios,9.99,2017
Bae Team,Bossa Studios,4.99,2017
YGGDRASIL STUDIO,YGGDRASIL STUDIO,Free,2017
Jo Erlend Sund,Aerosoft GmbH,14.99,2017
Freebird Games,Freebird Games,9.99,2017
Black Forest Games,THQ Nordic,29.99,2017
Dovetail Games,Dovetail Games - Trains,29.99,2017
Holyday Studios,Holyday Studios,Free,2017
Rockstar North,Rockstar Games,39.99,2017
Alina Digital,Alina Digital,2.99,2017
Beamdog,Beamdog,,1900
"SmiteWorks USA, LLC",,22.99,2017
Spiele-Palast GmbH,Spiele-Palast GmbH,Free,2017
Coconut Games,Coconut Games,19.99,2017
Beamdog,Beamdog,,1900
Beamdog,Beamdog,,1900
Beamdog,Beamdog,,1900
Beamdog,Beamdog,,1900
Beamdog,Beamdog,,1900
Stegalosaurus Game Development,Stegalosaurus Game Development,8.99,2017
Loading Home,Loading Home,9.99,2017
"Mind's Eclipse Interactive, LLC","Mind's Eclipse Interactive, LLC",,2018
PLAY337,PLAY337,24.99,2017
Korion,Headup Games,,1900
World-Loom,Artifex Mundi,14.99,2017
Buried Signal,Annapurna Interactive,3.99,2017
Delmunsoft,Delmunsoft,4.99,2017
Choice of Games,Choice of Games,6.99,2017
UMEO Studios,Toplitz Productions,29.99,2017
SYLPH,SYLPH,2.99,2017
Quail Island Software Limited,Quail Island Software Limited,6.99,2017
Beamdog,Beamdog,,1900
Marco Amadei,Marco Amadei,3.99,2017
Machine Games,Bethesda Softworks,9.99,2017
Japan War Game Development,Japan War Game Development,24.99,2017
Martin Helvig,Tazhel,5.99,2017
Wonderbox Games,Wonderbox Games,15.99,2017
Jakal Studios,Jakal Studios,1.99,2017
Parizagames Ltd.,Parizagames Ltd.,2.99,2017
Fiveamp,Fiveamp,Free,2017
"Toyman,Creobit",8Floor,4.99,2017
Open World Interactive,Open World Interactive,24.99,2017
Nomad Games,Asmodee Digtial,4.99,2017
Nuriworks,Insel Games Ltd.,24.99,2017
Nuriworks,Insel Games Ltd.,39.99,2017
Nuriworks,Insel Games Ltd.,19.99,2017
Targem Games,,39.99,2017
Toposim,Dovetail Games - Flight,19.99,2017
Zinertek,Dovetail Games - Flight,11.99,2017
Veslo Games,Veslo Games,,2018
Nuriworks,Insel Games Ltd.,19.99,2017
Nickelodeon,Nickelodeon,19.99,2017
FeelThere,FeelThere,19.99,2017
XYZ Visuals,Aerosoft GmbH,29.99,2017
AFStudio,Dagestan Technology,0.99,2017
Dev9k,Dev9k,11.99,2017
Roman Kozhukhov,,Free,2017
Bittersweet Entertainment,Degica,34.99,2017
CCP,CCP,19.95,2017
DAB Entertainment,DAB Entertainment,1.99,2017
Weckr Industries,Digerati Distribution,9.99,2017
FireFly Studios,FireFly Studios,9.99,2017
"SmiteWorks USA, LLC",,19.99,2017
"SmiteWorks USA, LLC",,3.99,2017
CyberVaca Entertainment,CyberVaca Entertainment,0.99,2017
SCS Software,,4.99,2017
Gamera Interactive,SOEDESCO Publishing,9.99,2017
Going Loud Studios,Going Loud Studios,0.99,2017
King's Lance Games,King's Lance Games,9.99,2017
Stroe Andrei,Stroe Andrei,2.99,2017
Mad Mag Store,Mad Mag Store,4.99,2017
Quiet River,Quiet River,0.99,2017
Virtual Racing Industries Ltd.,Virtual Racing Industries Ltd.,2.99,2017
"Monolith Productions, Inc.",,14.99,2017
"MyDreamForever,Dark Light Studio",Dark Light Studio,0.99,2017
Jason Lee Martin,Jason Lee Martin,9.99,2017
Corrosive Studios LLC,Corrosive Studios LLC,1.99,2017
Numantian Games,Numantian Games,24.99,2017
Boneloaf,Double Fine Presents,19.99,2017
Robot House,Hammerfall Publishing,19.99,2017
"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC,Abstraction Games",,19.99,2017
Ubisoft - San Francisco,,11.99,2017
Quiet River,Quiet River,0.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
"NetherRealm Studios,QLOC",,5.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft Montreal,,29.99,2017
GuraShop,GuraShop,19.99,2017
GuraShop,GuraShop,3.99,2017
RocketWerkz,RocketWerkz,24.99,2017
Digital Extremes,,,2017
Krome Studios,,4.99,2017
Ithaqua Labs,,2.99,2017
Digital Extremes,,,2017
Digital Extremes,,,2017
Digital Extremes,,,2017
Krome Studios,Krome Studios,14.99,2017
"illuCalab,FLIPFLOPs,Japanime Games","Culture Select, MangaGamer",24.99,2017
Luis Eduardo Guedes Martins,Fables of Laetus,Free,2017
Berezka,Berezka,1.99,2017
Stegalosaurus Game Development,,3.99,2017
Digital Extremes,,49.99,2017
"Beamz Interactive, Inc.",,9.99,2017
team ok LLC,team ok LLC,6.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
"Visual Concepts,Yuke's Co., LTD",2K,3.99,2017
"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",19.99,2017
Dev Arc,Dev Arc,2.99,2017
WayForward,WayForward,7.99,2017
HeroCraft,HeroCraft,9.99,2017
BufoProject,BufoProject,17.99,2017
GCRH,GCRH,2.99,2017
RewindApp,RewindApp,0.99,2017
"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Free,2017
Brain Stone GmbH,Brain Stone GmbH,,1900
Atriagames,Atriagames,,1900
"刘俊亨(Junheng Liu),UNGamingOrg游戏组织玩家",刘俊亨(Junheng Liu),3.99,2017
一次元创作组,一次元创作组,,1900
fragOut Studio,fragOut Studio,,1900
FastRolling,Atriagames,0.99,2017
"Angels Blue Digital Entertainment,DigitalEZ",DigitalEZ,4.99,2017
"Nikita ""Ghost_RUS""",Ghost_RUS Games,0.99,2017
Recreat4,Virtuactions,17.99,2017
Mykhail Konokh,Mykhail Konokh,1.99,2017
Lev Gogol,Lev Gogol,0.99,2017
Digital Train Model,Dovetail Games - Trains,4.99,2017
Pixel Six Games,Pixel Six Games,0.99,2017
Digital Train Model,Dovetail Games - Trains,4.99,2017
Dynamic Pixels,tinyBuild,29.99,2017
Kacper Stasiełuk,Kacper Stasiełuk,1.99,2017
CASGames,CASGames,0.99,2017
Verymax,Verymax,0.99,2017
Chess no choke games,Chess no choke games,1.99,2017
SenRufu Studios,Sometimes You,6.99,2017
Gameloft,Gameloft,Free,2017
Codex7,Codex7,0.99,2017
EvilGames,EvilGames,7.99,2017
Boogygames Studios,,0.99,2017
FreezeNova,FreezeNova,0.99,2017
Zolden games,Zolden games,5.99,2017
Vicrusenpai,Cisamid Inc.,0.99,2017
Game Dev Castle,Top Meadow Inc,0.99,2017
Albatros Softworks,,Free,2017
Mutant Entertainment Studios,Mutant Entertainment Studios,0.99,2017
Timba Games,Plug In Digital,9.99,2017
LillyWelland inc.,Bitlock Studio,2.99,2017
Eipix Entertainment,Big Fish Games,12.99,2017
Spotted Zebra Software LLC,Spotted Zebra Software LLC,0.99,2017
RunAroundGames,RunAroundGames,,2017
Dzsembori,Dzsembori,2.99,2011
Elephant Games,Big Fish Games,12.99,2017
Desert Owl Games LLC,ToHeroes Game Studios LLC,Free,2017
putilin_industries,putilin_industries,0.99,2017
Wave Light Games Inc.,Wave Light Games Inc.,9.99,2017
hede,hede,4.99,2017
Jajaben Games,Indietopia Games,Free,2017
HeroCraft,HeroCraft,11.99,2017
Charm Games,Charm Games,5.99,2017
alexeibelih,alexeibelih,0.99,2017
Thetis Games,Thetis Games,15.99,2017
Broguelike,,2.99,2017
PikPok,PikPok,9.99,2017
gurkenlabs,gurkenlabs,2.99,2017
ShilohGames,ShilohGames,4.99,2017
Fancy Factory,Fancy Factory,4.99,2017
Seven Sails Games,Seven Sails Games,6.99,2017
SEROSOO,PsychoFlux Entertainment,0.99,2017
Lupiesoft,,4.99,2017
SEROSOO,PsychoFlux Entertainment,Free,2017
Nihon Falcom,Aksys Games,59.99,2017
Nihon Falcom,Aksys Games,14.99,2017
Nihon Falcom,Aksys Games,12.99,2017
Nihon Falcom,Aksys Games,14.99,2017
"LAME Dimension,Flying Pudding Studios",LAME Dimension,0.99,2017
Thunder Devs.,,1.99,2017
Xamdes Games,Xamdes Games,2.99,2017
Thunder Devs.,,1.99,2017
Barty Games,Barty Games,1.99,2017
Wonderbox Games,Wonderbox Games,19.99,2017
SVC Games,SVC Games,4.99,2017
Lose,HIKARI FIELD,,1900
Free Time Farmers,Free Time Farmers,16.99,2017
Globall Art,Aerosoft GmbH,29.99,2017
Gameface Games Ltd,Gameface Games Ltd,3.99,2017
Fury Software,Slitherine Ltd.,19.99,2011
"Nerial,Synaptic Insight Technology Systems",,0.99,2017
Layvinas,Eagle Dynamics SA,9.99,2017
Backburner Games,Backburner Games,4.99,2017
"Nerial,Synaptic Insight Technology Systems",Devolver Digital,2.99,2017
Hamsters Gaming,Hamsters Gaming,5.99,2017
Z-Software,Aerosoft GmbH,29.99,2017
Studio Namaapa,Studio Namaapa,Free,2017
Pixel Star,Dagestan Technology,,2017
CWDI GAMES LLC,CWDI GAMES LLC,9.99,2017
Stein Bock Games,Stein Bock Games,0.99,2017
DesktopPaints LLC,DesktopPaints LLC,3.99,2017
Paradox Development Studio,Paradox Interactive,7.99,2017
Thing Trunk,Thing Trunk,64.99,2017
Jutsu Games,PlayWay SA,5.99,2017
2Awesome Studio,2Awesome Studio,12.99,2017
Tree Men Games,Tree Men Games,1.99,2017
AECRNIA,AnelaGamesStudio,9.99,2017
AECRNIA,AnelaGamesStudio,7.99,2017
アスガル騎士団,アスガル騎士団,Free,2017
Dima Kozyr,Dima Kozyr,4.99,2017
"Laser Guided Games, LLC","Laser Guided Games, LLC",19.99,2017
"Rohan Narang,Ratalaika Games S.L.",Ratalaika Games S.L.,4.99,2017
BlueSky FS,Dovetail Games - Flight,39.99,2017
Grey Alien Games,Positech Games,14.99,2017
SUPERHOT Team,SUPERHOT Team,11.99,2017
Tokyo RPG Factory,Square Enix,,2017
Reality Pump Studios,TopWare Interactive ACE,4.99,2017
Antizero company,Antizero company,1.99,2017
Alexey Volonsky,AYE Technology,0.99,2017
Codevictus Inc.,Codevictus Inc,9.99,2017
Black Lab Games,Slitherine Ltd.,4.99,2017
SC Jogos,SC Jogos,0.99,2017
SC Jogos,SC Jogos,0.99,2017
Sven Möhring,Sven Möhring,1.99,2017
"Leonard Menchiari,IV Productions",Merge Games,12.99,2017
Toposim,Dovetail Games - Flight,19.99,2017
Toposim,Dovetail Games - Flight,14.99,2017
Ronimo Games,Ronimo Games,3.99,2017
Ronimo Games,Ronimo Games,7.99,2017
ALEKSANDER CHIEPAIKIN,ALEKSANDER CHIEPAIKIN,1.99,2017
Mariaglorum,Big Fish Games,12.99,2017
Ronimo Games,,4.99,2017
Michael Klaus Schmidt,Michael Klaus Schmidt,0.99,2017
Katakura Hibiki,Degica,9.99,2017
"hyperboreanGames,Svarog Studios",Back To Basics Gaming,Free,2017
Katakura Hibiki,Degica,9.99,2017
Katakura Hibiki,Degica,9.99,2017
"Operation Constellation,Valentina Baker",Operation Constellation,4.99,2017
"SmiteWorks USA, LLC",,6.99,2017
"SmiteWorks USA, LLC",,6.99,2017
Bennett Foddy,Bennett Foddy,7.99,2017
RayKingArts,RayKingArts,Free,2017
"SmiteWorks USA, LLC",,22.99,2017
"Beamz Interactive, Inc.",,7.99,2017
UnderMax Games,,0.99,2017
Jean-Sébastien Nouveau,33 Production,Free,2017
Tavo,Calaca studios,4.99,2017
Broguelike,Accordion Games,6.99,2017
"SmiteWorks USA, LLC",,29.99,2017
AuroraCorp,Aurora software,10.99,2017
AYE Technology,AYE Technology,,2017
Little Big MMO,,9.99,2017
"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",12.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,7.99,2017
N3V Games,,14.99,2017
N3V Games,,14.99,2017
N3V Games,,7.99,2017
N3V Games,,9.99,2017
N3V Games,,9.99,2017
N3V Games,,19.99,2017
Oak Gear,Oak Gear,,1900
N3V Games,,9.99,2017
Dynamic Media Triad,Digital Tribe,,1900
appSide Down,PlayWay S.A.,,1900
Ubisoft - San Francisco,,2.99,2017
"QLOC,DIMPS",BANDAI NAMCO Entertainment,9.99,2017
"Oh, a Rock! Studios","Oh, a Rock! Studios",5.99,2017
Capcom,Capcom,3.99,2017
Capcom,Capcom,3.99,2017
Capcom,Capcom,3.99,2017
Capcom,Capcom,3.99,2017
Capcom,Capcom,3.99,2017
Capcom,Capcom,3.99,2017
UNBALANCE Corporation,UNBALANCE Corporation,79.99,2015
u̷n̸k̴n̶o̴w̶n̵,u̷n̸k̴n̶o̴w̶n̵,,1900
Drift Physics Crew,Drift Physics Crew,2.99,2017
Drift Physics Crew,Drift Physics Crew,2.99,2017
Drift Physics Crew,Drift Physics Crew,2.99,2017
Mr. Thee,Mr. Thee,,1900
Ricardo Pratas,Ricardo Pratas,0.99,2017
Taco Truck Games,Taco Truck Games,0.99,2017
VisualArts/Key,VisualArts,2.99,2017
STREETCAT STUDIO,STREETCAT STUDIO,2.99,2017
Tim Rachor,Tim Rachor,2.99,2017
Funforge,Funforge,9.99,2017
LillyWelland inc.,Bitlock Studio,0.99,2017
Mia Blais-Côté,Mia Blais-Côté,0.99,2017
"keenEdge,Neocortex",KEENEDGE,1.99,2017
Falkrus,Falkrus,2.99,2017
Mia Blais-Côté,Mia Blais-Côté,1.99,2017
Ambiera,Ambiera,9.99,2017
Absolutist Ltd,Absolutist Ltd,Free,2017
Holotech Studios,,1.99,2017
Gazzapper Games,Gazzapper Games,2.99,2017
Colossal Wreck,Colossal Wreck,,2018
Team DOTS,Team DOTS,Free,2017
ThinkVirtual LLC,ThinkVirtual LLC,1.99,2017
Scythuz,New Reality Games,2.99,2017
"Astalo Games,Sami Tikkamäki",PQube Limited,7.99,2017
Anima Chambers,Anima Chambers,,2018
"Joshua Williams,Evil Tortilla Games Incorporated",Evil Tortilla Games,4.99,2017
Labyrinthine,Labyrinthine,6.99,2017
NorthernLights Games,NorthernLights Games,1.99,2017
Studio 1983,Studio 1983,2.99,2017
Dotware,Dotware,,1900
Oscar Celestini,Forever Entertainment S. A.,1.99,2017
Wolf Pack,Wolf Pack,5.99,2017
Michael McCartney,Michael McCartney,Free,2017
Yet Another Game Studio,Yet Another Game Studio,1.99,2017
Loneminded,Loneminded,3.99,2017
Horizon Games,Horizon Games,9.99,2017
Stumbling Cat,Stumbling Cat,,1900
Adaptive Game,Dagestan Technology,,1900
Initiative Games,Initiative Games,0.99,2017
Semicolon;,Semicolon;,Free,2017
Studio Monolith,Studio Monolith,14.99,2017
RewindApp,RewindApp,0.99,2017
Hosted Games,Hosted Games,6.99,2017
Slug Disco Studios,Slug Disco Studios,19.99,2017
Standby,Standby,4.99,2017
GBROSSOFT,GBROSSOFT,4.99,2017
Strategiae,Plug In Digital,4.99,2017
SuperTry Studios,SuperTry Studios,9.99,2017
Stèv,Ludi Dorici,8.99,2017
Rhythmical Badass,Rhythmical Badass,2.99,2017
Shazard G Bansraj,Shazard G Bansraj,Free,2017
DistrictWare inc.,DistrictWare inc.,14.99,2017
"Frontwire Studios, LLC","Frontwire Studios, LLC",,1900
Novo Mundo,Novo Mundo,2.99,2017
Tomáš Sabol,Tomáš Sabol,9.99,2017
Lunar Collapse,Lunar Collapse,7.99,2017
George Batchelor,George Batchelor,4.99,2017
"CINEMAX, s.r.o.","CINEMAX, s.r.o.",9.99,2017
Realore,Qumaron,4.99,2017
Realore,Qumaron,3.99,2017
Realore,Qumaron,4.99,2017
Realore,Qumaron,4.99,2017
Realore,Qumaron,4.99,2017
Oxeye Game Studio,Mojang,6.99,2017
Catalope Games,Catalope Games,7.99,2017
Matthew.P,Matthew.P,1.99,2017
Mikhail Melnikov,Mikhail Melnikov,0.99,2017
Eridanus Studio,Eridanus Studio,0.99,2017
@VincentLTower,@VincentLTower,1.99,2017
Falcon Development,Falcon Development,14.99,2017
Falcon Development,,,2017
Eteru Studio,Eteru Studio,2.99,2017
Falcon Development,,13.99,2017
Magical Hackers,Magical Hackers,4.99,2017
Falcon Development,Falcon Development,,2017
Stegalosaurus Game Development,Stegalosaurus Game Development,3.99,2017
David Su,,2.99,2017
Cateia,GameHouse,12.99,2017
Khor Chin Heong,Khor Chin Heong,29.99,2017
3DClouds.it,,1.99,2017
Notus Games Ltd,Notus Games Ltd,9.99,2017
Actoz Soft,Papaya Play,Free,2017
David Ko,PIXIMAP,3.99,2017
Mianwotu,Refproto Games,0.99,2017
Astalo Games,PQube Limited,7.99,2017
橘喵喵,INDIECN,1.99,2017
Targem Games,,54.99,2017
Superbyte Games,Superbyte Games,,1900
Phil Fortier,Phil Fortier,0.99,2017
Nothing Rhymes With Entertainment,Nothing Rhymes With Entertainment,1.99,2017
Yobowargames,Yobowargames,,1900
MercurySteam,Mercury Steam Entertainment s.l,9.99,2017
Halycon Media,Halycon Media,29.99,2017
CSM,W.T.B.,0.99,2017
JetCat Games,Klabater,3.99,2017
JetCat Games,Klabater,3.99,2017
Artifex Mundi,Artifex Mundi,2.99,2017
Artifex Mundi,Artifex Mundi,2.99,2017
Lost the Game Studios,bitComposer Interactive GmbH,29.99,2017
Pixelsplit,Pixelsplit,4.99,2017
Samantha Arehart,Samantha Arehart,2.99,2017
"SmiteWorks USA, LLC",,9.99,2017
"SmiteWorks USA, LLC",,7.99,2017
"SmiteWorks USA, LLC",,9.99,2017
"SmiteWorks USA, LLC",,22.99,2017
"SmiteWorks USA, LLC",,24.99,2017
"SmiteWorks USA, LLC",,4.99,2017
Muzaku,Muzaku,0.99,2017
"SmiteWorks USA, LLC",,10.99,2017
"SmiteWorks USA, LLC",,10.99,2017
"SmiteWorks USA, LLC",,4.99,2017
Oriplay,"Cristian Manolachi, Atomic Fabrik",2.99,2017
Rinober Games,Rinober Games,7.99,2017
Resi,,0.99,2017
Fowers Games,Fowers Games,4.99,2017
Mark Fassett,Fowers Games,4.99,2017
BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,7.99,2017
Infinite Dreams,Infinite Dreams,9.99,2017
phime studio LLC,phime studio LLC,7.99,2017
Brewsterland Studios,Brewsterland Studios,Free,2017
MAGIX Software GmbH,MAGIX Software GmbH,399.0,2017
aDeCon Production,aDeCon Production,4.99,2017
For Kids,For Kids,Free,2017
"Asmodee Digital,Frima Studio",Asmodee Digital,14.99,2017
Serkan Bakar,Serkan Bakar,2.99,2017
Lunchbox Edu,Lunchbox Edu,9.99,2017
Lled Games,Lled Games,2.99,2017
Dovetail Games,Dovetail Games - Trains,19.99,2017
Crazysoft Limited,Crazysoft Limited,3.99,2016
"Tomer Caner,Nitay Parnes",Indie,3.99,2017
"Flying Fire, LLC","Flying Fire, LLC",9.99,2017
Star Drifters,Star Drifters,19.99,2017
Killer Bee Software,Killer Bee Software,19.99,2017
Devdan Games,Devdan Games,3.99,2017
Big Fat Simulations Inc.,Big Fat Simulations Inc.,19.99,2017
putilin_industries,putilin_industries,0.99,2017
Thunder Devs.,Thunder Devs.,Free,2017
Black Phoenix Studio,Black Phoenix Studio,6.99,2017
Dragom,Dragom,11.99,2017
Dreamcraft Entertainment,Patriot Game,1.99,2017
Daniel Wiitanen,Daniel Wiitanen,Free,2017
Drop_Dead_Fred (Фред),Coconut Tree Studio,1.99,2017
"German Airports Team,Caipirinha Games,Omar Masroor",Aerosoft GmbH,34.99,2017
